gen,hv,sp,front_size
99,0.757,0.07275963254731042,100
100,0.741,0.07277827810075284,100
101,0.7355,0.08499415337012681,100
102,0.7565,0.07281335184149935,100
103,0.7535,0.07274802724076741,100
104,0.7525,0.07285685270163854,100
105,0.763,0.0730457938527018,100
106,0.7445,0.09423655729565485,100
107,0.7555,0.07405297126062575,100
108,0.749,0.07415206681769633,100
109,0.731,0.07415530103594979,100
110,0.7425,0.07415161169431622,100
111,0.757,0.0767765333284023,100
112,0.7565,0.07405764060058852,100
113,0.729,0.07410217668140709,100
114,0.7425,0.07424342157652679,100
115,0.764,0.07845038143737652,100
116,0.7425,0.08434067627379244,100
117,0.7675,0.07802880466951549,100
118,0.752,0.07230072251377717,100
119,0.7455,0.07235286499097059,100
120,0.7405,0.07234267179073926,100
121,0.7375,0.07514524233243823,100
122,0.744,0.07222554627757817,100
123,0.7475,0.07217832236985122,100
124,0.751,0.07213081824014438,100
125,0.742,0.0721083954256076,100
126,0.75,0.07422183697977545,100
127,0.7525,0.07196018292170814,100
128,0.739,0.07192274867558958,100
129,0.74,0.07199311769507567,100
130,0.7415,0.07184405245523744,100
131,0.752,0.07273213909183905,100
132,0.7625,0.07196842887882193,100
133,0.7565,0.07192165919143265,100
134,0.759,0.07209024662621158,100
135,0.754,0.07207761998451737,100
136,0.7425,0.08281276713866507,100
137,0.749,0.07211549926169267,100
138,0.751,0.07214037529341699,100
139,0.734,0.07211296289577912,100
140,0.739,0.07217898849026808,100
141,0.7525,0.07918485282954048,100
142,0.7535,0.07217617186928456,100
143,0.7205,0.07217617186928456,100
144,0.7475,0.0721173900787975,100
145,0.745,0.07067582869071737,100
146,0.7585,0.08038050560707873,100
147,0.7555,0.07067490739018836,100
148,0.741,0.07025112992890523,100
149,0.7435,0.07016324970784943,100
150,0.749,0.07018713982497178,100
151,0.731,0.07679261833169931,100
152,0.7425,0.07046667397516576,100
153,0.743,0.07046919844032057,100
154,0.7405,0.06619483115379471,100
155,0.736,0.06617729167984818,100
156,0.752,0.08823518234485837,100
157,0.758,0.06961757776225717,100
158,0.7645,0.07597819410520774,100
159,0.751,0.07602279003045333,100
160,0.724,0.07603346023654013,100
161,0.743,0.07034505383160865,100
162,0.7405,0.07019429563713618,100
163,0.746,0.07019824912951388,100
164,0.74,0.0701872726602357,100
165,0.7305,0.07022445249980216,100
166,0.749,0.0759956185255718,100
167,0.747,0.0769555600241509,100
168,0.7315,0.0769504154506388,100
169,0.727,0.0769504154506388,100
170,0.7515,0.07697801540650975,100
171,0.735,0.07698746576582491,100
172,0.75,0.07702373316629513,100
173,0.7555,0.07701291565755099,100
174,0.765,0.07705083029452933,100
175,0.7255,0.07709884381397757,100
176,0.7625,0.07710601864753344,100
177,0.7565,0.07713291236482317,100
178,0.738,0.07706700794664072,100
179,0.7485,0.0770101603979325,100
180,0.741,0.0770184267437273,100
181,0.747,0.0770184267437273,100
182,0.75,0.07692238862449984,100
183,0.7425,0.07692657577054683,100
184,0.765,0.061927337575479545,100
185,0.762,0.061927337575479545,100
186,0.7465,0.06145928311484469,100
187,0.7685,0.06120883499432776,100
188,0.738,0.06123207608085881,100
189,0.7665,0.061268441117432654,100
190,0.755,0.061296860798990695,100
191,0.763,0.06133938805836811,100
192,0.756,0.06131249735713605,100
193,0.748,0.06129161684763731,100
194,0.757,0.06093716228881269,100
195,0.7665,0.061105712373613716,100
196,0.7505,0.06107135639893774,100
197,0.762,0.060745779038433735,100
198,0.7515,0.06107561518987208,100
199,0.76,0.06093488400754816,100
200,0.7425,0.06084012792599801,100
201,0.7945,0.049762901467028955,100
