code,name,actual_days,missing_days,completeness,sw_level1
601633,长城汽车,966,0,100.0,C36汽车制造业
601669,中国水电,966,0,100.0,E48土木工程建筑业
601901,方正证券,966,0,100.0,J67资本市场服务
002594,比亚迪,966,0,100.0,C36汽车制造业
601377,兴业证券,960,6,99.38,J67资本市场服务
000776,广发证券,966,0,100.0,J67资本市场服务
002415,海康威视,966,0,100.0,C39计算机、通信和其他电子设备制造业
600115,东方航空,966,0,100.0,G56航空运输业
600276,恒瑞医药,966,0,100.0,C27医药制造业
600406,国电南瑞,966,0,100.0,I65软件和信息技术服务业
600887,伊利股份,966,0,100.0,C14食品制造业
600893,航空动力,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
601818,光大银行,966,0,100.0,J66货币金融服务
601288,农业银行,966,0,100.0,J66货币金融服务
002304,洋河股份,966,0,100.0,C15酒、饮料和精制茶制造业
600999,招商证券,966,0,100.0,J67资本市场服务
601688,华泰证券,966,0,100.0,J67资本市场服务
601888,中国国旅,966,0,100.0,L72商务服务业
601618,中国中冶,966,0,100.0,E48土木工程建筑业
601668,中国建筑,966,0,100.0,E48土木工程建筑业
601766,中国南车,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
000100,TCL集团,966,0,100.0,C39计算机、通信和其他电子设备制造业
600588,用友软件,966,0,100.0,I65软件和信息技术服务业
601186,中国铁建,966,0,100.0,E48土木工程建筑业
601899,紫金矿业,966,0,100.0,B09有色金属矿采选业
601390,中国中铁,966,0,100.0,E48土木工程建筑业
601601,中国太保,966,0,100.0,J68保险业
601939,建设银行,966,0,100.0,J66货币金融服务
000338,潍柴动力,966,0,100.0,C36汽车制造业
000895,双汇发展,966,0,100.0,C13农副食品加工业
002142,宁波银行,966,0,100.0,J66货币金融服务
600111,包钢稀土,966,0,100.0,C32有色金属冶炼和压延加工业
601009,南京银行,966,0,100.0,J66货币金融服务
601169,北京银行,966,0,100.0,J66货币金融服务
601857,中国石油,966,0,100.0,B07石油和天然气开采业
601088,中国神华,956,10,98.96,B06煤炭开采和洗选业
000876,新希望,966,0,100.0,C13农副食品加工业
601328,交通银行,966,0,100.0,J66货币金融服务
601998,中信银行,966,0,100.0,J66货币金融服务
601600,中国铝业,966,0,100.0,C32有色金属冶炼和压延加工业
601318,中国平安,966,0,100.0,J68保险业
601166,兴业银行,966,0,100.0,J66货币金融服务
601628,中国人寿,966,0,100.0,J68保险业
600547,山东黄金,966,0,100.0,B09有色金属矿采选业
601111,中国国航,966,0,100.0,G56航空运输业
600048,保利地产,966,0,100.0,K70房地产业
601398,工商银行,966,0,100.0,J66货币金融服务
601006,大秦铁路,966,0,100.0,G53铁路运输业
601988,中国银行,966,0,100.0,J66货币金融服务
000768,西飞国际,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
000538,云南白药,966,0,100.0,C27医药制造业
600690,青岛海尔,966,0,100.0,C38电气机械和器材制造业
600660,福耀玻璃,966,0,100.0,C30非金属矿物制品业
600585,海螺水泥,966,0,100.0,C30非金属矿物制品业
600519,贵州茅台,966,0,100.0,C15酒、饮料和精制茶制造业
600362,江西铜业,966,0,100.0,C32有色金属冶炼和压延加工业
000858,五粮液,966,0,100.0,C15酒、饮料和精制茶制造业
000625,长安汽车,966,0,100.0,C36汽车制造业
000651,格力电器,966,0,100.0,C38电气机械和器材制造业
000568,泸州老窖,966,0,100.0,C15酒、饮料和精制茶制造业
000425,徐工科技,953,13,98.65,C35专用设备制造业
000157,中联重科,966,0,100.0,C35专用设备制造业
000063,中兴通讯,966,0,100.0,C39计算机、通信和其他电子设备制造业
000001,深发展A,966,0,100.0,J66货币金融服务
600009,上海机场,965,1,99.9,G56航空运输业
600010,包钢股份,966,0,100.0,C31黑色金属冶炼和压延加工业
600015,华夏银行,966,0,100.0,J66货币金融服务
600016,民生银行,966,0,100.0,J66货币金融服务
600019,宝钢股份,966,0,100.0,C31黑色金属冶炼和压延加工业
600028,中国石化,966,0,100.0,B07石油和天然气开采业
600029,南方航空,966,0,100.0,G56航空运输业
600030,中信证券,960,6,99.38,J67资本市场服务
600031,三一重工,966,0,100.0,C35专用设备制造业
600036,招商银行,966,0,100.0,J66货币金融服务
600050,中国联通,966,0,100.0,I63电信、广播电视和卫星传输服务
000002,万科A,966,0,100.0,K70房地产业
