code,alpha,beta_mkt,beta_smb,beta_hml,t_alpha,r_squared,observations,name
002371,0.32160617332511315,3.013656866739349,0.3316297160284374,-0.31145128955337775,1.0081077953057136,0.008557198661452547,47,北方华创
002384,-32565.183369274167,-294631.24933962483,-36784.78817008577,-18050.49384239868,-0.9373564604031668,0.005697221339643788,47,东山精密
002415,-0.019449351936803926,0.549900791220479,-0.8156505349469809,-0.11032480345958617,-0.8436483648671876,0.06573656194185118,47,海康威视
002422,0.004544446385719806,-0.20482786447152415,0.6377832795120894,-0.15276648551712235,0.18156516523047847,0.03189429766048024,47,科伦药业
002459,-0.2235553000943947,-0.9509859359208437,0.20193529646941982,-0.4535517048507769,-0.9792541064207213,0.0008051880724099236,47,晶澳科技
002460,-0.18492640926044335,-0.895548075467421,-0.4571658061951517,-1.0992420140463053,-0.863438693812559,0.0012326542673679608,47,赣锋锂业
002463,1.6147677186522276,15.54837260684065,1.6682249032318621,1.125817106501644,0.9614954216333704,0.006612204566865287,47,沪电股份
002466,-2311.718497386249,-20914.014736023804,-2611.2631126630063,-1281.8682764831303,-0.9373547460484394,0.005696441317698864,47,天齐锂业
002475,-134.13878354025908,-1213.7296901981563,-151.9726789942874,-75.64668686470056,-0.9371698119405555,0.005690153434429912,47,立讯精密
002594,-0.23500112446791474,-1.4184366922646119,-0.49806269713821094,-0.28583515597773157,-0.8744603309761718,0.0022419970095653996,47,比亚迪
002600,0.009318067810755816,-0.0768060135853296,0.2937681533317198,-1.0906103962821336,0.30974982948222135,0.09927042285371102,47,领益智造
002601,-5.151129009132675,-45.50701270736691,-5.8802495374482495,-2.6473925336532464,-0.9374745386165017,0.0054716172213244985,47,龙蟒佰利
002625,0.0009268735774241241,1.0505442398258782,1.0673801158149947,0.17838147587847966,0.028323357421450222,0.13528591067679108,47,光启技术
002648,0.1278387048923676,2.0391262182674503,-0.19777007272845487,0.05200189595000476,0.9478481540177935,0.016415716879218833,47,卫星化学
002709,-11748.937526635495,-106297.24466480283,-13272.200576743418,-6513.909684649253,-0.9373554675253126,0.005697089264134481,47,天赐材料
002714,-0.012894224207642935,0.6522979762673146,-0.20813996507651156,-0.056540479118543256,-0.5310926560042204,0.052828599127613174,47,牧原股份
002736,-0.04277583685897052,0.46061855937918605,-0.2854839207297098,0.21371475706324272,-0.7268760020832082,0.0033136517159153556,47,国信证券
002916,-1745.8744294325747,-15795.155767324693,-1972.6676585652347,-968.4379642505866,-0.9373396112326037,0.005696471293073269,47,深南电路
002920,0.9834209576467802,9.529925824394653,1.151868073603488,-0.4058583093339593,0.9559163513006188,0.007689915421631333,47,德赛西威
002938,81.81325557104752,740.1878912745271,92.40524806122565,44.68311802916475,0.9376516780973067,0.005706775663725794,47,鹏鼎控股
003816,-0.01609312512832147,-0.10173426378912818,-0.4443690853197435,0.26958489374896855,-0.698788100432258,0.04818176569320276,47,中国广核
300014,0.05621298272449344,1.199077018035264,-0.6151615539368449,-1.347386885917128,1.552007085898028,0.20975098321471397,47,亿纬锂能
300015,-0.014280902955969201,1.3755692760464333,-0.7187485576418613,0.02719847722182936,-0.5582179774975451,0.16231672184601575,47,爱尔眼科
300033,0.22805418375163816,3.974068252873029,-0.2062462258334543,-0.0146043128858874,1.189013773858923,0.03219366218564179,47,同花顺
300059,-0.004165738298556355,2.2556191359851967,-0.955181968582103,0.3638605264773611,-0.14927402688498548,0.27475049016054987,47,东方财富
300122,-0.03426304315934237,1.3201867446431161,0.17053256802771855,0.23453460981786406,-1.250815072797592,0.13911113268673747,47,智飞生物
