gen,hv,sp,front_size
170,0.8125,0.06903101590557198,100
171,0.7895,0.0690217794316079,100
172,0.7895,0.0711562067141578,100
173,0.7955,0.0711562067141578,100
174,0.786,0.07121295265295154,100
175,0.8055,0.07118526993145662,100
176,0.807,0.07119169341664702,100
177,0.7865,0.0702436293401336,100
178,0.796,0.06703631915735823,100
179,0.792,0.06703631915735823,100
180,0.8025,0.06703631915735823,100
181,0.813,0.06702142118728456,100
182,0.7835,0.06703704737068195,100
183,0.794,0.06701484641017505,100
184,0.794,0.06703770480560109,100
185,0.7815,0.06713620963243117,100
186,0.802,0.06713620963243117,100
187,0.8155,0.06716596518379564,100
188,0.783,0.06707317671767185,100
189,0.8,0.06707317671767185,100
190,0.7845,0.06706812933927986,100
191,0.7985,0.06706812933927986,100
192,0.7985,0.06709923968355873,100
193,0.807,0.06666985587268222,100
194,0.805,0.06651632172293057,100
195,0.803,0.06648046230395188,100
196,0.8155,0.06671910535466424,100
197,0.8085,0.06450373294696624,100
198,0.813,0.06445791172910778,100
199,0.7995,0.06440138454777602,100
200,0.807,0.06463353557789236,100
201,0.7755,0.06469821321513426,100
